
CAEN Rev.2  (activitati ale economiei nationale), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
TOTAL, Total, Buzau, Anul 2011, Lei, 1177
TOTAL, Total, Buzau, Anul 2012, Lei, 1231
TOTAL, Total, Buzau, Anul 2013, Lei, 1294
TOTAL, Total, Constanta, Anul 2008, Lei, 1291
TOTAL, Total, Constanta, Anul 2009, Lei, 1391
TOTAL, Total, Constanta, Anul 2010, Lei, 1328
TOTAL, Total, Constanta, Anul 2011, Lei, 1403
TOTAL, Total, Constanta, Anul 2012, Lei, 1424
TOTAL, Total, Constanta, Anul 2013, Lei, 1486
TOTAL, Total, Galati, Anul 2008, Lei, 1219
TOTAL, Total, Galati, Anul 2009, Lei, 1254
TOTAL, Total, Galati, Anul 2010, Lei, 1269
TOTAL, Total, Galati, Anul 2011, Lei, 1310
TOTAL, Total, Galati, Anul 2012, Lei, 1351
TOTAL, Total, Galati, Anul 2013, Lei, 1435
TOTAL, Total, Tulcea, Anul 2008, Lei, 1112
TOTAL, Total, Tulcea, Anul 2009, Lei, 1180
TOTAL, Total, Tulcea, Anul 2010, Lei, 1254
TOTAL, Total, Tulcea, Anul 2011, Lei, 1276
TOTAL, Total, Tulcea, Anul 2012, Lei, 1274
TOTAL, Total, Tulcea, Anul 2013, Lei, 1381
TOTAL, Total, Vrancea, Anul 2008, Lei, 1064
TOTAL, Total, Vrancea, Anul 2009, Lei, 1091
TOTAL, Total, Vrancea, Anul 2010, Lei, 1085
TOTAL, Total, Vrancea, Anul 2011, Lei, 1078
TOTAL, Total, Vrancea, Anul 2012, Lei, 1136
TOTAL, Total, Vrancea, Anul 2013, Lei, 1196
TOTAL, Total, MACROREGIUNEA TREI, Anul 2008, Lei, 1592
TOTAL, Total, MACROREGIUNEA TREI, Anul 2009, Lei, 1625
TOTAL, Total, MACROREGIUNEA TREI, Anul 2010, Lei, 1714
TOTAL, Total, MACROREGIUNEA TREI, Anul 2011, Lei, 1810
TOTAL, Total, MACROREGIUNEA TREI, Anul 2012, Lei, 1899
TOTAL, Total, MACROREGIUNEA TREI, Anul 2013, Lei, 1971
TOTAL, Total, Regiunea SUD-MUNTENIA, Anul 2008, Lei, 1220
TOTAL, Total, Regiunea SUD-MUNTENIA, Anul 2009, Lei, 1294
TOTAL, Total, Regiunea SUD-MUNTENIA, Anul 2010, Lei, 1303
TOTAL, Total, Regiunea SUD-MUNTENIA, Anul 2011, Lei, 1321
TOTAL, Total, Regiunea SUD-MUNTENIA, Anul 2012, Lei, 1394
TOTAL, Total, Regiunea SUD-MUNTENIA, Anul 2013, Lei, 1463
TOTAL, Total, Arges, Anul 2008, Lei, 1269
TOTAL, Total, Arges, Anul 2009, Lei, 1374
TOTAL, Total, Arges, Anul 2010, Lei, 1434
TOTAL, Total, Arges, Anul 2011, Lei, 1469
TOTAL, Total, Arges, Anul 2012, Lei, 1541
TOTAL, Total, Arges, Anul 2013, Lei, 1649
TOTAL, Total, Calarasi, Anul 2008, Lei, 1058
TOTAL, Total, Calarasi, Anul 2009, Lei, 1120
TOTAL, Total, Calarasi, Anul 2010, Lei, 1071
TOTAL, Total, Calarasi, Anul 2011, Lei, 1123
TOTAL, Total, Calarasi, Anul 2012, Lei, 1178
TOTAL, Total, Calarasi, Anul 2013, Lei, 1258
TOTAL, Total, Dambovita, Anul 2008, Lei, 1184
TOTAL, Total, Dambovita, Anul 2009, Lei, 1232
TOTAL, Total, Dambovita, Anul 2010, Lei, 1262
