 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 155662 BARA,20-24 ani, Feminin, Timis, Anul 1998, Numar persoane,3
 155662 BARA,25-29 ani, Masculin, Timis, Anul 1992, Numar persoane,6
 155662 BARA,25-29 ani, Masculin, Timis, Anul 1993, Numar persoane,6
 155662 BARA,25-29 ani, Masculin, Timis, Anul 1994, Numar persoane,8
 155662 BARA,25-29 ani, Masculin, Timis, Anul 1995, Numar persoane,9
 155662 BARA,25-29 ani, Masculin, Timis, Anul 1996, Numar persoane,10
 155662 BARA,25-29 ani, Masculin, Timis, Anul 1997, Numar persoane,8
 155662 BARA,25-29 ani, Masculin, Timis, Anul 1998, Numar persoane,7
 155662 BARA,25-29 ani, Feminin, Timis, Anul 1992, Numar persoane,4
 155662 BARA,25-29 ani, Feminin, Timis, Anul 1993, Numar persoane,5
 155662 BARA,25-29 ani, Feminin, Timis, Anul 1994, Numar persoane,11
 155662 BARA,25-29 ani, Feminin, Timis, Anul 1995, Numar persoane,12
 155662 BARA,25-29 ani, Feminin, Timis, Anul 1996, Numar persoane,12
 155662 BARA,25-29 ani, Feminin, Timis, Anul 1997, Numar persoane,16
 155662 BARA,25-29 ani, Feminin, Timis, Anul 1998, Numar persoane,14
 155662 BARA,30-34 ani, Masculin, Timis, Anul 1992, Numar persoane,8
 155662 BARA,30-34 ani, Masculin, Timis, Anul 1993, Numar persoane,7
 155662 BARA,30-34 ani, Masculin, Timis, Anul 1994, Numar persoane,7
 155662 BARA,30-34 ani, Masculin, Timis, Anul 1995, Numar persoane,9
 155662 BARA,30-34 ani, Masculin, Timis, Anul 1996, Numar persoane,7
 155662 BARA,30-34 ani, Masculin, Timis, Anul 1997, Numar persoane,10
 155662 BARA,30-34 ani, Masculin, Timis, Anul 1998, Numar persoane,12
 155662 BARA,30-34 ani, Feminin, Timis, Anul 1992, Numar persoane,5
 155662 BARA,30-34 ani, Feminin, Timis, Anul 1993, Numar persoane,3
 155662 BARA,30-34 ani, Feminin, Timis, Anul 1994, Numar persoane,2
 155662 BARA,30-34 ani, Feminin, Timis, Anul 1995, Numar persoane,2
 155662 BARA,30-34 ani, Feminin, Timis, Anul 1996, Numar persoane,5
 155662 BARA,30-34 ani, Feminin, Timis, Anul 1997, Numar persoane,5
 155662 BARA,30-34 ani, Feminin, Timis, Anul 1998, Numar persoane,5
 155662 BARA,35-39 ani, Masculin, Timis, Anul 1992, Numar persoane,9
 155662 BARA,35-39 ani, Masculin, Timis, Anul 1993, Numar persoane,5
 155662 BARA,35-39 ani, Masculin, Timis, Anul 1994, Numar persoane,4
 155662 BARA,35-39 ani, Masculin, Timis, Anul 1995, Numar persoane,6
 155662 BARA,35-39 ani, Masculin, Timis, Anul 1996, Numar persoane,11
 155662 BARA,35-39 ani, Masculin, Timis, Anul 1997, Numar persoane,14
 155662 BARA,35-39 ani, Masculin, Timis, Anul 1998, Numar persoane,11
 155662 BARA,35-39 ani, Feminin, Timis, Anul 1992, Numar persoane,3
 155662 BARA,35-39 ani, Feminin, Timis, Anul 1993, Numar persoane,3
 155662 BARA,35-39 ani, Feminin, Timis, Anul 1994, Numar persoane,3
 155662 BARA,35-39 ani, Feminin, Timis, Anul 1995, Numar persoane,6
 155662 BARA,35-39 ani, Feminin, Timis, Anul 1996, Numar persoane,6
 155662 BARA,35-39 ani, Feminin, Timis, Anul 1997, Numar persoane,5
 155662 BARA,35-39 ani, Feminin, Timis, Anul 1998, Numar persoane,3
 155662 BARA,40-44 ani, Masculin, Timis, Anul 1992, Numar persoane,4
 155662 BARA,40-44 ani, Masculin, Timis, Anul 1993, Numar persoane,9
 155662 BARA,40-44 ani, Masculin, Timis, Anul 1994, Numar persoane,6
 155662 BARA,40-44 ani, Masculin, Timis, Anul 1995, Numar persoane,7
 155662 BARA,40-44 ani, Masculin, Timis, Anul 1996, Numar persoane,10
 155662 BARA,40-44 ani, Masculin, Timis, Anul 1997, Numar persoane,9
 155662 BARA,40-44 ani, Masculin, Timis, Anul 1998, Numar persoane,5
 155662 BARA,40-44 ani, Feminin, Timis, Anul 1992, Numar persoane,6
 155662 BARA,40-44 ani, Feminin, Timis, Anul 1993, Numar persoane,6
 155662 BARA,40-44 ani, Feminin, Timis, Anul 1994, Numar persoane,7
 155662 BARA,40-44 ani, Feminin, Timis, Anul 1995, Numar persoane,7
 155662 BARA,40-44 ani, Feminin, Timis, Anul 1996, Numar persoane,4
 155662 BARA,40-44 ani, Feminin, Timis, Anul 1997, Numar persoane,4
 155662 BARA,40-44 ani, Feminin, Timis, Anul 1998, Numar persoane,3
 155662 BARA,45-49 ani, Masculin, Timis, Anul 1992, Numar persoane,3
 155662 BARA,45-49 ani, Masculin, Timis, Anul 1993, Numar persoane,3
 155662 BARA,45-49 ani, Masculin, Timis, Anul 1994, Numar persoane,3
 155662 BARA,45-49 ani, Masculin, Timis, Anul 1995, Numar persoane,3
 155662 BARA,45-49 ani, Masculin, Timis, Anul 1996, Numar persoane,5
 155662 BARA,45-49 ani, Masculin, Timis, Anul 1997, Numar persoane,6
 155662 BARA,45-49 ani, Masculin, Timis, Anul 1998, Numar persoane,9
 155662 BARA,45-49 ani, Feminin, Timis, Anul 1992, Numar persoane,6
