 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 64719 POIAN,10-14 ani, Feminin, Covasna, Anul 2004, Numar persoane,93
 64719 POIAN,10-14 ani, Feminin, Covasna, Anul 2005, Numar persoane,86
 64719 POIAN,10-14 ani, Feminin, Covasna, Anul 2006, Numar persoane,47
 64719 POIAN,10-14 ani, Feminin, Covasna, Anul 2007, Numar persoane,47
 64719 POIAN,10-14 ani, Feminin, Covasna, Anul 2008, Numar persoane,48
 64719 POIAN,10-14 ani, Feminin, Covasna, Anul 2009, Numar persoane,49
 64719 POIAN,10-14 ani, Feminin, Covasna, Anul 2010, Numar persoane,53
 64719 POIAN,10-14 ani, Feminin, Covasna, Anul 2011, Numar persoane,53
 64719 POIAN,10-14 ani, Feminin, Covasna, Anul 2012, Numar persoane,47
 64719 POIAN,10-14 ani, Feminin, Covasna, Anul 2013, Numar persoane,51
 64719 POIAN,10-14 ani, Feminin, Covasna, Anul 2014, Numar persoane,50
 64719 POIAN,10-14 ani, Feminin, Covasna, Anul 2015, Numar persoane,47
 64719 POIAN,10-14 ani, Feminin, Covasna, Anul 2016, Numar persoane,47
 64719 POIAN,10-14 ani, Feminin, Covasna, Anul 2017, Numar persoane,54
 64719 POIAN,15-19 ani, Feminin, Covasna, Anul 1992, Numar persoane,108
 64719 POIAN,15-19 ani, Feminin, Covasna, Anul 1993, Numar persoane,103
 64719 POIAN,15-19 ani, Feminin, Covasna, Anul 1994, Numar persoane,107
 64719 POIAN,15-19 ani, Feminin, Covasna, Anul 1995, Numar persoane,91
 64719 POIAN,15-19 ani, Feminin, Covasna, Anul 1996, Numar persoane,95
 64719 POIAN,15-19 ani, Feminin, Covasna, Anul 1997, Numar persoane,96
 64719 POIAN,15-19 ani, Feminin, Covasna, Anul 1998, Numar persoane,87
 64719 POIAN,15-19 ani, Feminin, Covasna, Anul 1999, Numar persoane,86
 64719 POIAN,15-19 ani, Feminin, Covasna, Anul 2000, Numar persoane,94
 64719 POIAN,15-19 ani, Feminin, Covasna, Anul 2001, Numar persoane,91
 64719 POIAN,15-19 ani, Feminin, Covasna, Anul 2002, Numar persoane,86
 64719 POIAN,15-19 ani, Feminin, Covasna, Anul 2003, Numar persoane,97
 64719 POIAN,15-19 ani, Feminin, Covasna, Anul 2004, Numar persoane,116
 64719 POIAN,15-19 ani, Feminin, Covasna, Anul 2005, Numar persoane,118
 64719 POIAN,15-19 ani, Feminin, Covasna, Anul 2006, Numar persoane,81
 64719 POIAN,15-19 ani, Feminin, Covasna, Anul 2007, Numar persoane,79
 64719 POIAN,15-19 ani, Feminin, Covasna, Anul 2008, Numar persoane,74
 64719 POIAN,15-19 ani, Feminin, Covasna, Anul 2009, Numar persoane,59
 64719 POIAN,15-19 ani, Feminin, Covasna, Anul 2010, Numar persoane,51
 64719 POIAN,15-19 ani, Feminin, Covasna, Anul 2011, Numar persoane,45
 64719 POIAN,15-19 ani, Feminin, Covasna, Anul 2012, Numar persoane,43
