 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 157273 GIERA,80-84 ani, Feminin, Timis, Anul 1996, Numar persoane,10
 157273 GIERA,80-84 ani, Feminin, Timis, Anul 1997, Numar persoane,11
 157273 GIERA,80-84 ani, Feminin, Timis, Anul 1998, Numar persoane,11
 157273 GIERA,85 ani si peste, Masculin, Timis, Anul 1992, Numar persoane,2
 157273 GIERA,85 ani si peste, Masculin, Timis, Anul 1993, Numar persoane,4
 157273 GIERA,85 ani si peste, Masculin, Timis, Anul 1994, Numar persoane,5
 157273 GIERA,85 ani si peste, Masculin, Timis, Anul 1995, Numar persoane,3
 157273 GIERA,85 ani si peste, Masculin, Timis, Anul 1996, Numar persoane,2
 157273 GIERA,85 ani si peste, Masculin, Timis, Anul 1997, Numar persoane,2
 157273 GIERA,85 ani si peste, Masculin, Timis, Anul 1998, Numar persoane,2
 157273 GIERA,85 ani si peste, Feminin, Timis, Anul 1992, Numar persoane,4
 157273 GIERA,85 ani si peste, Feminin, Timis, Anul 1993, Numar persoane,6
 157273 GIERA,85 ani si peste, Feminin, Timis, Anul 1994, Numar persoane,6
 157273 GIERA,85 ani si peste, Feminin, Timis, Anul 1995, Numar persoane,4
 157273 GIERA,85 ani si peste, Feminin, Timis, Anul 1996, Numar persoane,5
 157273 GIERA,85 ani si peste, Feminin, Timis, Anul 1997, Numar persoane,4
 157273 GIERA,85 ani si peste, Feminin, Timis, Anul 1998, Numar persoane,3
 157273 GIERA,0- 4 ani, Masculin, Timis, Anul 1999, Numar persoane,35
 157273 GIERA,0- 4 ani, Masculin, Timis, Anul 2000, Numar persoane,32
 157273 GIERA,0- 4 ani, Masculin, Timis, Anul 2001, Numar persoane,41
 157273 GIERA,0- 4 ani, Masculin, Timis, Anul 2002, Numar persoane,34
 157273 GIERA,0- 4 ani, Masculin, Timis, Anul 2003, Numar persoane,30
 157273 GIERA,0- 4 ani, Masculin, Timis, Anul 2004, Numar persoane,31
 157273 GIERA,0- 4 ani, Masculin, Timis, Anul 2005, Numar persoane,34
 157273 GIERA,0- 4 ani, Masculin, Timis, Anul 2006, Numar persoane,33
 157273 GIERA,0- 4 ani, Feminin, Timis, Anul 1999, Numar persoane,43
 157273 GIERA,0- 4 ani, Feminin, Timis, Anul 2000, Numar persoane,39
 157273 GIERA,0- 4 ani, Feminin, Timis, Anul 2001, Numar persoane,33
 157273 GIERA,0- 4 ani, Feminin, Timis, Anul 2002, Numar persoane,34
 157273 GIERA,0- 4 ani, Feminin, Timis, Anul 2003, Numar persoane,36
 157273 GIERA,0- 4 ani, Feminin, Timis, Anul 2004, Numar persoane,36
 157273 GIERA,0- 4 ani, Feminin, Timis, Anul 2005, Numar persoane,44
 157273 GIERA,0- 4 ani, Feminin, Timis, Anul 2006, Numar persoane,47
 157273 GIERA,5- 9 ani, Masculin, Timis, Anul 1999, Numar persoane,57
 157273 GIERA,5- 9 ani, Masculin, Timis, Anul 2000, Numar persoane,52
 157273 GIERA,5- 9 ani, Masculin, Timis, Anul 2001, Numar persoane,38
 157273 GIERA,5- 9 ani, Masculin, Timis, Anul 2002, Numar persoane,42
 157273 GIERA,5- 9 ani, Masculin, Timis, Anul 2003, Numar persoane,43
 157273 GIERA,5- 9 ani, Masculin, Timis, Anul 2004, Numar persoane,38
 157273 GIERA,5- 9 ani, Masculin, Timis, Anul 2005, Numar persoane,33
 157273 GIERA,5- 9 ani, Masculin, Timis, Anul 2006, Numar persoane,42
 157273 GIERA,5- 9 ani, Feminin, Timis, Anul 1999, Numar persoane,51
 157273 GIERA,5- 9 ani, Feminin, Timis, Anul 2000, Numar persoane,49
 157273 GIERA,5- 9 ani, Feminin, Timis, Anul 2001, Numar persoane,53
 157273 GIERA,5- 9 ani, Feminin, Timis, Anul 2002, Numar persoane,49
 157273 GIERA,5- 9 ani, Feminin, Timis, Anul 2003, Numar persoane,49
 157273 GIERA,5- 9 ani, Feminin, Timis, Anul 2004, Numar persoane,44
 157273 GIERA,5- 9 ani, Feminin, Timis, Anul 2005, Numar persoane,39
 157273 GIERA,5- 9 ani, Feminin, Timis, Anul 2006, Numar persoane,33
 157273 GIERA,10-14 ani, Masculin, Timis, Anul 1999, Numar persoane,38
 157273 GIERA,10-14 ani, Masculin, Timis, Anul 2000, Numar persoane,45
 157273 GIERA,10-14 ani, Masculin, Timis, Anul 2001, Numar persoane,57
 157273 GIERA,10-14 ani, Masculin, Timis, Anul 2002, Numar persoane,51
 157273 GIERA,10-14 ani, Masculin, Timis, Anul 2003, Numar persoane,56
 157273 GIERA,10-14 ani, Masculin, Timis, Anul 2004, Numar persoane,58
 157273 GIERA,10-14 ani, Masculin, Timis, Anul 2005, Numar persoane,51
 157273 GIERA,10-14 ani, Masculin, Timis, Anul 2006, Numar persoane,37
 157273 GIERA,10-14 ani, Feminin, Timis, Anul 1999, Numar persoane,65
 157273 GIERA,10-14 ani, Feminin, Timis, Anul 2000, Numar persoane,67
 157273 GIERA,10-14 ani, Feminin, Timis, Anul 2001, Numar persoane,65
 157273 GIERA,10-14 ani, Feminin, Timis, Anul 2002, Numar persoane,62
 157273 GIERA,10-14 ani, Feminin, Timis, Anul 2003, Numar persoane,50
 157273 GIERA,10-14 ani, Feminin, Timis, Anul 2004, Numar persoane,53
 157273 GIERA,10-14 ani, Feminin, Timis, Anul 2005, Numar persoane,50
 157273 GIERA,10-14 ani, Feminin, Timis, Anul 2006, Numar persoane,55
 157273 GIERA,15-19 ani, Masculin, Timis, Anul 1999, Numar persoane,42
 157273 GIERA,15-19 ani, Masculin, Timis, Anul 2000, Numar persoane,43
 157273 GIERA,15-19 ani, Masculin, Timis, Anul 2001, Numar persoane,35
 157273 GIERA,15-19 ani, Masculin, Timis, Anul 2002, Numar persoane,40
 157273 GIERA,15-19 ani, Masculin, Timis, Anul 2003, Numar persoane,37
 157273 GIERA,15-19 ani, Masculin, Timis, Anul 2004, Numar persoane,43
 157273 GIERA,15-19 ani, Masculin, Timis, Anul 2005, Numar persoane,52
 157273 GIERA,15-19 ani, Masculin, Timis, Anul 2006, Numar persoane,64
 157273 GIERA,15-19 ani, Feminin, Timis, Anul 1999, Numar persoane,58
 157273 GIERA,15-19 ani, Feminin, Timis, Anul 2000, Numar persoane,53
 157273 GIERA,15-19 ani, Feminin, Timis, Anul 2001, Numar persoane,56
 157273 GIERA,15-19 ani, Feminin, Timis, Anul 2002, Numar persoane,62
 157273 GIERA,15-19 ani, Feminin, Timis, Anul 2003, Numar persoane,67
 157273 GIERA,15-19 ani, Feminin, Timis, Anul 2004, Numar persoane,62
 157273 GIERA,15-19 ani, Feminin, Timis, Anul 2005, Numar persoane,68
 157273 GIERA,15-19 ani, Feminin, Timis, Anul 2006, Numar persoane,65
 157273 GIERA,20-24 ani, Masculin, Timis, Anul 1999, Numar persoane,58
