 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 137103 BIRSAU,10-14 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,100
 137103 BIRSAU,10-14 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,103
 137103 BIRSAU,10-14 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,125
 137103 BIRSAU,10-14 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,121
 137103 BIRSAU,10-14 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,116
 137103 BIRSAU,10-14 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,108
 137103 BIRSAU,10-14 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,93
 137103 BIRSAU,10-14 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,91
 137103 BIRSAU,10-14 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,87
 137103 BIRSAU,10-14 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,94
 137103 BIRSAU,10-14 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,95
 137103 BIRSAU,10-14 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,101
 137103 BIRSAU,10-14 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,92
 137103 BIRSAU,10-14 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,99
 137103 BIRSAU,15-19 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,146
 137103 BIRSAU,15-19 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,152
 137103 BIRSAU,15-19 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,154
 137103 BIRSAU,15-19 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,142
 137103 BIRSAU,15-19 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,147
 137103 BIRSAU,15-19 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,124
 137103 BIRSAU,15-19 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,105
 137103 BIRSAU,15-19 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,93
 137103 BIRSAU,15-19 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,102
 137103 BIRSAU,15-19 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,97
 137103 BIRSAU,15-19 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,108
