 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 28889 CRISTIORU DE JOS,15-19 ani, Masculin, Bihor, Anul 1998, Numar persoane,71
 28889 CRISTIORU DE JOS,15-19 ani, Masculin, Bihor, Anul 1999, Numar persoane,70
 28889 CRISTIORU DE JOS,15-19 ani, Feminin, Bihor, Anul 1992, Numar persoane,60
 28889 CRISTIORU DE JOS,15-19 ani, Feminin, Bihor, Anul 1993, Numar persoane,58
 28889 CRISTIORU DE JOS,15-19 ani, Feminin, Bihor, Anul 1994, Numar persoane,59
 28889 CRISTIORU DE JOS,15-19 ani, Feminin, Bihor, Anul 1995, Numar persoane,66
 28889 CRISTIORU DE JOS,15-19 ani, Feminin, Bihor, Anul 1996, Numar persoane,71
 28889 CRISTIORU DE JOS,15-19 ani, Feminin, Bihor, Anul 1997, Numar persoane,66
 28889 CRISTIORU DE JOS,15-19 ani, Feminin, Bihor, Anul 1998, Numar persoane,66
 28889 CRISTIORU DE JOS,15-19 ani, Feminin, Bihor, Anul 1999, Numar persoane,74
 28889 CRISTIORU DE JOS,20-24 ani, Masculin, Bihor, Anul 1992, Numar persoane,77
 28889 CRISTIORU DE JOS,20-24 ani, Masculin, Bihor, Anul 1993, Numar persoane,81
 28889 CRISTIORU DE JOS,20-24 ani, Masculin, Bihor, Anul 1994, Numar persoane,74
 28889 CRISTIORU DE JOS,20-24 ani, Masculin, Bihor, Anul 1995, Numar persoane,77
 28889 CRISTIORU DE JOS,20-24 ani, Masculin, Bihor, Anul 1996, Numar persoane,76
 28889 CRISTIORU DE JOS,20-24 ani, Masculin, Bihor, Anul 1997, Numar persoane,73
 28889 CRISTIORU DE JOS,20-24 ani, Masculin, Bihor, Anul 1998, Numar persoane,69
 28889 CRISTIORU DE JOS,20-24 ani, Masculin, Bihor, Anul 1999, Numar persoane,70
 28889 CRISTIORU DE JOS,20-24 ani, Feminin, Bihor, Anul 1992, Numar persoane,67
 28889 CRISTIORU DE JOS,20-24 ani, Feminin, Bihor, Anul 1993, Numar persoane,61
 28889 CRISTIORU DE JOS,20-24 ani, Feminin, Bihor, Anul 1994, Numar persoane,61
 28889 CRISTIORU DE JOS,20-24 ani, Feminin, Bihor, Anul 1995, Numar persoane,52
 28889 CRISTIORU DE JOS,20-24 ani, Feminin, Bihor, Anul 1996, Numar persoane,52
 28889 CRISTIORU DE JOS,20-24 ani, Feminin, Bihor, Anul 1997, Numar persoane,62
 28889 CRISTIORU DE JOS,20-24 ani, Feminin, Bihor, Anul 1998, Numar persoane,61
 28889 CRISTIORU DE JOS,20-24 ani, Feminin, Bihor, Anul 1999, Numar persoane,66
 28889 CRISTIORU DE JOS,25-29 ani, Masculin, Bihor, Anul 1992, Numar persoane,45
 28889 CRISTIORU DE JOS,25-29 ani, Masculin, Bihor, Anul 1993, Numar persoane,49
 28889 CRISTIORU DE JOS,25-29 ani, Masculin, Bihor, Anul 1994, Numar persoane,59
 28889 CRISTIORU DE JOS,25-29 ani, Masculin, Bihor, Anul 1995, Numar persoane,61
 28889 CRISTIORU DE JOS,25-29 ani, Masculin, Bihor, Anul 1996, Numar persoane,65
 28889 CRISTIORU DE JOS,25-29 ani, Masculin, Bihor, Anul 1997, Numar persoane,69
 28889 CRISTIORU DE JOS,25-29 ani, Masculin, Bihor, Anul 1998, Numar persoane,73
 28889 CRISTIORU DE JOS,25-29 ani, Masculin, Bihor, Anul 1999, Numar persoane,66
 28889 CRISTIORU DE JOS,25-29 ani, Feminin, Bihor, Anul 1992, Numar persoane,40
 28889 CRISTIORU DE JOS,25-29 ani, Feminin, Bihor, Anul 1993, Numar persoane,46
 28889 CRISTIORU DE JOS,25-29 ani, Feminin, Bihor, Anul 1994, Numar persoane,48
 28889 CRISTIORU DE JOS,25-29 ani, Feminin, Bihor, Anul 1995, Numar persoane,49
 28889 CRISTIORU DE JOS,25-29 ani, Feminin, Bihor, Anul 1996, Numar persoane,59
 28889 CRISTIORU DE JOS,25-29 ani, Feminin, Bihor, Anul 1997, Numar persoane,60
 28889 CRISTIORU DE JOS,25-29 ani, Feminin, Bihor, Anul 1998, Numar persoane,57
 28889 CRISTIORU DE JOS,25-29 ani, Feminin, Bihor, Anul 1999, Numar persoane,57
 28889 CRISTIORU DE JOS,30-34 ani, Masculin, Bihor, Anul 1992, Numar persoane,42
 28889 CRISTIORU DE JOS,30-34 ani, Masculin, Bihor, Anul 1993, Numar persoane,35
 28889 CRISTIORU DE JOS,30-34 ani, Masculin, Bihor, Anul 1994, Numar persoane,37
 28889 CRISTIORU DE JOS,30-34 ani, Masculin, Bihor, Anul 1995, Numar persoane,35
 28889 CRISTIORU DE JOS,30-34 ani, Masculin, Bihor, Anul 1996, Numar persoane,39
 28889 CRISTIORU DE JOS,30-34 ani, Masculin, Bihor, Anul 1997, Numar persoane,43
 28889 CRISTIORU DE JOS,30-34 ani, Masculin, Bihor, Anul 1998, Numar persoane,48
 28889 CRISTIORU DE JOS,30-34 ani, Masculin, Bihor, Anul 1999, Numar persoane,56
 28889 CRISTIORU DE JOS,30-34 ani, Feminin, Bihor, Anul 1992, Numar persoane,51
 28889 CRISTIORU DE JOS,30-34 ani, Feminin, Bihor, Anul 1993, Numar persoane,48
 28889 CRISTIORU DE JOS,30-34 ani, Feminin, Bihor, Anul 1994, Numar persoane,36
 28889 CRISTIORU DE JOS,30-34 ani, Feminin, Bihor, Anul 1995, Numar persoane,36
 28889 CRISTIORU DE JOS,30-34 ani, Feminin, Bihor, Anul 1996, Numar persoane,34
 28889 CRISTIORU DE JOS,30-34 ani, Feminin, Bihor, Anul 1997, Numar persoane,34
 28889 CRISTIORU DE JOS,30-34 ani, Feminin, Bihor, Anul 1998, Numar persoane,42
 28889 CRISTIORU DE JOS,30-34 ani, Feminin, Bihor, Anul 1999, Numar persoane,41
 28889 CRISTIORU DE JOS,35-39 ani, Masculin, Bihor, Anul 1992, Numar persoane,90
 28889 CRISTIORU DE JOS,35-39 ani, Masculin, Bihor, Anul 1993, Numar persoane,89
 28889 CRISTIORU DE JOS,35-39 ani, Masculin, Bihor, Anul 1994, Numar persoane,77
 28889 CRISTIORU DE JOS,35-39 ani, Masculin, Bihor, Anul 1995, Numar persoane,65
 28889 CRISTIORU DE JOS,35-39 ani, Masculin, Bihor, Anul 1996, Numar persoane,47
 28889 CRISTIORU DE JOS,35-39 ani, Masculin, Bihor, Anul 1997, Numar persoane,37
 28889 CRISTIORU DE JOS,35-39 ani, Masculin, Bihor, Anul 1998, Numar persoane,31
 28889 CRISTIORU DE JOS,35-39 ani, Masculin, Bihor, Anul 1999, Numar persoane,35
 28889 CRISTIORU DE JOS,35-39 ani, Feminin, Bihor, Anul 1992, Numar persoane,63
 28889 CRISTIORU DE JOS,35-39 ani, Feminin, Bihor, Anul 1993, Numar persoane,64
 28889 CRISTIORU DE JOS,35-39 ani, Feminin, Bihor, Anul 1994, Numar persoane,64
 28889 CRISTIORU DE JOS,35-39 ani, Feminin, Bihor, Anul 1995, Numar persoane,61
 28889 CRISTIORU DE JOS,35-39 ani, Feminin, Bihor, Anul 1996, Numar persoane,59
 28889 CRISTIORU DE JOS,35-39 ani, Feminin, Bihor, Anul 1997, Numar persoane,51
 28889 CRISTIORU DE JOS,35-39 ani, Feminin, Bihor, Anul 1998, Numar persoane,46
 28889 CRISTIORU DE JOS,35-39 ani, Feminin, Bihor, Anul 1999, Numar persoane,37
 28889 CRISTIORU DE JOS,40-44 ani, Masculin, Bihor, Anul 1992, Numar persoane,85
 28889 CRISTIORU DE JOS,40-44 ani, Masculin, Bihor, Anul 1993, Numar persoane,75
 28889 CRISTIORU DE JOS,40-44 ani, Masculin, Bihor, Anul 1994, Numar persoane,79
 28889 CRISTIORU DE JOS,40-44 ani, Masculin, Bihor, Anul 1995, Numar persoane,80
 28889 CRISTIORU DE JOS,40-44 ani, Masculin, Bihor, Anul 1996, Numar persoane,76
